houseID,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
4001,9/5/2014,1575000,5,3.75,4220,9240,2,FALSE,2,5,11,3420,800,1991,0,98040,47.5895,-122.229,3380,9240
4002,8/20/2014,768000,3,2.5,3220,54160,2,FALSE,2,4,9,2690,530,1981,0,98006,47.5468,-122.109,3460,44374
4003,10/31/2014,903000,3,2.75,3860,12786,2,FALSE,0,4,10,3860,0,1984,0,98006,47.549,-122.141,2820,14636
4004,10/21/2014,935000,4,3.25,4110,15488,2,FALSE,2,3,11,4110,0,1995,0,98006,47.5493,-122.117,4190,14973
4005,5/12/2014,927000,4,2.75,3300,12090,2,FALSE,0,3,8,3300,0,1953,0,98004,47.6294,-122.218,3180,12239
4006,3/6/2015,1800000,3,3,2790,13295,2,TRUE,4,4,10,2370,420,1933,1989,98006,47.5466,-122.197,3140,11949
4007,3/19/2015,1250000,4,2.25,1830,7200,2,FALSE,2,3,8,1750,80,1923,0,98112,47.6315,-122.282,3100,7200
4008,2/13/2015,641000,3,1.75,1480,9603,1,FALSE,0,3,7,1480,0,1952,0,98004,47.5915,-122.202,2660,10766
4009,12/22/2014,570000,3,1.75,1370,3300,2,FALSE,0,5,7,1370,0,1927,0,98105,47.6714,-122.32,1560,3927
4010,5/12/2014,1346400,5,1.75,3380,20021,1,FALSE,0,4,8,1690,1690,1963,0,98004,47.6395,-122.211,3260,19809
4011,10/22/2014,840000,5,1.75,2500,11617,1,FALSE,0,4,9,1560,940,1966,0,98040,47.5361,-122.217,3370,11617
4012,7/21/2014,5.00E+05,3,2.5,2410,34848,1.5,FALSE,0,3,8,2410,0,1976,0,98006,47.5694,-122.12,2420,16424
4013,3/30/2015,605000,2,1,860,6510,1,FALSE,0,3,7,860,0,1952,0,98004,47.6021,-122.202,1740,10800
4014,5/13/2014,1680000,5,3.25,4860,23723,2,FALSE,2,4,11,3820,1040,1989,0,98040,47.5767,-122.215,4040,13860
4015,6/26/2014,760000,3,2.5,1980,13964,1,FALSE,0,5,7,1980,0,1959,0,98040,47.571,-122.227,2040,13964
4016,11/7/2014,1675000,6,2.25,4910,6600,2.5,FALSE,0,5,10,3580,1330,1910,0,98102,47.6458,-122.32,3280,5500
4017,3/6/2015,1030000,4,2.5,2620,11200,1,FALSE,0,4,8,1770,850,1962,0,98004,47.5876,-122.193,2360,11200
4018,6/30/2014,1510000,5,3.25,4390,11250,2,FALSE,0,3,10,4390,0,2007,0,98040,47.5785,-122.225,2160,9249
4019,3/18/2015,850000,3,2.5,2940,10809,2,FALSE,0,3,10,2940,0,1992,0,98006,47.5418,-122.136,3090,10348
4020,5/21/2014,1506000,4,3.25,3660,5800,2.5,FALSE,0,3,10,3360,300,1909,1995,98112,47.6283,-122.312,3240,5800
4021,9/11/2014,680000,2,2,1450,989,3,FALSE,0,3,9,1450,0,2014,0,98109,47.6354,-122.346,1490,1240
4022,10/8/2014,365000,4,1.5,1820,12327,1,FALSE,0,4,7,1380,440,1955,0,98006,47.5767,-122.144,1450,9256
4023,6/30/2014,1730000,5,3.5,5000,26540,2,FALSE,3,3,10,3410,1590,2008,0,98040,47.5665,-122.21,3360,17398
4024,3/31/2015,950000,4,2.5,1700,4418,2,FALSE,0,3,8,1700,0,1931,2000,98112,47.6434,-122.3,2090,4174
4025,7/7/2014,530000,3,1.75,1320,2500,1,FALSE,0,3,7,870,450,1918,0,98105,47.6681,-122.305,1580,2750
4026,2/17/2015,850000,3,2.5,3120,12406,2,FALSE,2,3,9,1940,1180,1983,0,98006,47.5507,-122.141,3240,13141
4027,5/5/2015,1655000,4,2.25,3530,5500,2,FALSE,0,3,8,2860,670,1940,0,98105,47.6618,-122.273,2840,5500
4028,10/23/2014,447000,2,1,850,2700,1,FALSE,0,5,6,850,0,1924,0,98105,47.6684,-122.316,1630,3000
4029,10/14/2014,1440000,4,1.75,2410,6000,1.5,FALSE,0,3,8,2410,0,1911,0,98109,47.6369,-122.355,1280,4000
4030,12/15/2014,985000,3,3.5,2600,11920,2,FALSE,0,5,8,2600,0,1969,0,98004,47.582,-122.194,2430,10050
4031,5/1/2015,1564350,4,3.75,3730,17000,2,FALSE,3,4,10,2820,910,1986,0,98040,47.5355,-122.242,3880,15550
4032,5/16/2014,724800,3,2,2050,3933,1,FALSE,0,3,8,1180,870,1926,2001,98112,47.6436,-122.303,1940,4000
4033,12/9/2014,1275000,4,2.5,2720,16454,1,FALSE,1,5,9,1870,850,1963,0,98040,47.5489,-122.216,3560,15993
4034,12/16/2014,1500000,4,2.75,2930,25697,1,FALSE,0,4,9,2310,620,1964,0,98004,47.6264,-122.226,3810,20681
4035,10/13/2014,725000,3,2,1550,12262,1,FALSE,0,4,7,1550,0,1964,0,98040,47.5755,-122.216,2900,12372
4036,6/25/2014,597326,4,4,3570,8250,2,FALSE,0,3,10,2860,710,2015,0,98040,47.5784,-122.226,2230,10000
4037,11/13/2014,510000,2,1,1390,5544,1,FALSE,0,3,7,930,460,1947,0,98105,47.6696,-122.267,1710,6200
4038,9/11/2014,3640900,4,3.25,4830,22257,2,TRUE,4,4,11,4830,0,1990,0,98039,47.6409,-122.241,3820,25582
4039,7/16/2014,842000,4,1.75,2170,9525,1,FALSE,0,3,8,2170,0,1960,0,98040,47.5685,-122.217,1910,9525
4040,5/12/2014,947500,4,2.25,3290,12329,1.5,FALSE,0,4,10,3290,0,1968,0,98040,47.5639,-122.216,3170,12329
