houseID,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1,6.00E+05,3,1,940,19000,1,FALSE,0,3,6,940,0,1945,0,98004,47.5828,-122.19,2280,19000
2,606000,3,2,1980,7680,1.5,FALSE,0,4,6,1070,910,1911,0,98033,47.6839,-122.195,1330,8704
3,660000,3,3.5,2740,3785,2,FALSE,0,3,9,2190,550,2001,0,98034,47.7195,-122.182,2060,3457
4,537000,4,2.5,1990,2660,2,FALSE,0,3,8,1990,0,2012,0,98034,47.732,-122.178,1990,2665
5,975000,3,2.5,2530,7000,2.5,FALSE,4,3,9,2530,0,1915,1999,98136,47.5465,-122.398,2380,7000
6,2.00E+05,3,1.5,1210,10588,1,FALSE,0,4,7,1210,0,1958,0,98002,47.2876,-122.212,1408,10588
7,370000,4,2.5,2320,9264,2,FALSE,0,3,8,2320,0,1994,0,98188,47.4449,-122.274,2320,9129
8,210750,4,1.5,1840,7076,1.5,FALSE,0,3,7,1840,0,1957,0,98106,47.5185,-122.345,1510,7320
9,299900,3,2.25,1560,35026,1,FALSE,0,3,7,1290,270,1985,0,98092,47.3023,-122.069,1660,35160
10,209950,3,1.5,2290,9600,1,FALSE,0,4,7,2290,0,1967,0,98042,47.3643,-122.111,1310,9600
12,1100000,4,3,3320,5760,2,FALSE,0,3,9,2120,1200,1954,2007,98199,47.6474,-122.389,2400,6144
13,435500,1,1.75,1020,4512,1,FALSE,0,3,7,770,250,1937,0,98115,47.6724,-122.266,1230,5029
14,740000,3,1.5,1830,4000,1,FALSE,0,4,7,1350,480,1910,0,98119,47.6453,-122.371,1570,3672
15,428000,3,2,1310,2550,1,FALSE,0,3,7,780,530,1986,0,98103,47.6911,-122.35,1460,5100
16,549000,4,2.25,2420,59800,1,FALSE,0,4,8,1350,1070,1985,0,98074,47.6206,-122.056,2160,17598
17,410000,3,1.5,2270,8187,1,FALSE,0,4,8,1420,850,1954,0,98155,47.7573,-122.278,2020,14092
18,286308,2,1.5,1220,1036,3,FALSE,0,3,7,1220,0,2006,0,98133,47.7348,-122.347,1210,659
19,1255780,5,4,4180,12042,2,FALSE,0,3,10,4180,0,2014,0,98075,47.5959,-122.014,1800,6052
20,695000,4,2.5,2790,6540,2,FALSE,0,3,9,2790,0,1999,0,98074,47.6087,-122.016,2790,6270
21,490000,3,1,1600,6380,1.5,FALSE,0,3,7,1400,200,1939,0,98125,47.7015,-122.317,1760,6380
22,490000,3,2.5,2230,5348,2,FALSE,0,3,8,2230,0,2000,0,98065,47.5347,-121.866,2190,5205
23,657044,3,3.5,3420,23786,1.5,FALSE,0,3,9,3420,0,2014,0,98059,47.4739,-122.11,1590,23774
24,7.00E+05,3,1.75,2000,14733,1,FALSE,0,4,8,2000,0,1958,0,98005,47.6001,-122.178,2620,14733
25,637000,3,2,1980,6000,1,FALSE,0,4,7,1380,600,1958,0,98115,47.6921,-122.283,1260,6000
26,563000,3,2,1580,5289,1,FALSE,0,3,7,870,710,1940,0,98103,47.6881,-122.342,1310,5535
27,320000,4,2.5,2300,3825,2,FALSE,0,3,7,2300,0,2012,0,98042,47.3594,-122.082,2110,3825
28,315000,2,1,630,6550,1,FALSE,0,3,5,630,0,1918,0,98126,47.5486,-122.38,1420,6550
29,290000,2,1,960,4000,1,FALSE,0,3,6,960,0,1918,0,98118,47.5554,-122.267,1210,4000
30,170000,2,1,1500,18540,1,FALSE,0,3,8,1500,0,1950,0,98168,47.4727,-122.281,1700,9355
31,279500,3,1.5,1200,8040,1,FALSE,0,4,7,1200,0,1959,0,98146,47.4901,-122.341,1450,9315
32,405000,4,1.75,2180,13529,1,FALSE,0,3,7,1090,1090,1956,0,98155,47.7516,-122.294,2000,13529
33,550000,4,2.5,2700,5150,2,FALSE,0,3,9,2700,0,2007,0,98059,47.5071,-122.148,3160,7620
34,255000,2,1,1220,2500,1,FALSE,0,3,6,770,450,1910,0,98126,47.5727,-122.372,1540,3000
35,220000,4,2,1620,5200,1.5,FALSE,0,4,7,1620,0,1978,0,98042,47.3629,-122.091,1500,5200
36,491000,5,3.5,2815,4900,2,FALSE,0,3,9,2815,0,2011,0,98030,47.3424,-122.179,2798,4900
37,432000,4,3.25,2820,13059,2,FALSE,0,4,8,2820,0,1976,0,98058,47.4508,-122.132,2360,8600
38,212000,3,1.75,1060,7875,1,FALSE,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680
39,1300000,5,2.5,4170,33310,2,FALSE,0,4,11,4170,0,1991,0,98006,47.5455,-122.126,4670,37960
40,129000,2,1,1150,30184,1,FALSE,0,3,6,1150,0,1950,0,98055,47.4492,-122.2,1670,19684
41,855000,3,1.75,1900,4000,1,FALSE,0,3,7,1300,600,1965,0,98103,47.6854,-122.331,1880,4000
42,219000,3,1,970,7790,1,FALSE,0,3,6,970,0,1967,0,98003,47.3165,-122.325,1150,8160
43,3204000,4,4,4810,18851,2,FALSE,3,3,11,4810,0,2007,0,98004,47.6364,-122.214,3970,19929
44,374000,3,2.5,1850,17808,1,FALSE,0,4,8,1210,640,1982,0,98032,47.3631,-122.271,2260,16754
45,446500,3,2.5,2650,7286,2,FALSE,0,3,8,2650,0,1990,0,98059,47.5084,-122.154,2400,7220
46,808000,4,2.25,2190,4104,2,FALSE,0,5,8,1410,780,1928,0,98112,47.6419,-122.306,1990,3860
47,315000,3,1.75,1580,11455,1,FALSE,0,4,7,1200,380,1974,0,98059,47.4756,-122.147,1550,10650
48,405000,3,1,1460,10000,1.5,FALSE,0,3,7,1460,0,2002,0,98074,47.6214,-122.063,1910,10000
49,570000,4,2.75,3140,10918,1,FALSE,0,3,8,1900,1240,1968,1986,98034,47.7086,-122.243,3170,10918
50,388000,4,2.5,2560,5800,2,FALSE,0,3,9,2560,0,2005,0,98038,47.3474,-122.025,3040,5800
51,411000,2,2,1130,1148,2,FALSE,0,3,9,800,330,2007,0,98122,47.6023,-122.314,1350,1201
52,8.00E+05,4,2.5,2570,50308,1.5,FALSE,0,3,10,2570,0,1993,0,98077,47.7418,-122.039,3420,37891
53,402000,3,2.5,1520,3425,2,FALSE,0,3,7,1520,0,1986,0,98052,47.6801,-122.161,1640,3425
54,6.00E+05,3,2.5,3240,8016,2,FALSE,0,3,8,2910,330,2004,0,98065,47.5382,-121.877,2990,7561
